,result
1137,9.0
1138,10.0
1139,15.0
1140,18.0
1141,9.0
1142,16.0
1143,-32.0
1144,-9.0
1145,17.0
1146,14.0
1147,-6.0
1148,6.0
1149,-8.0
1150,-8.0
1151,-20.0
1152,10.0
1153,-5.0
1154,12.0
1155,-1.0
1156,53.0
1157,-10.0
1158,-30.0
1159,38.0
1160,-2.0
1161,2.0
1162,4.0
1163,-1.0
1164,6.0
1165,8.0
1166,-29.0
1167,6.0
1168,19.0
1169,-9.0
1170,-22.0
1171,-6.0
1172,13.0
1173,11.0
1174,6.0
1175,2.0
1176,6.0
1177,7.0
1178,10.0
1179,23.0
1180,-11.0
1181,-1.0
1182,2.0
1183,-4.0
1184,-4.0
1185,4.0
1186,-15.0
1187,-4.0
1188,10.0
1189,2.0
1190,-11.0
1191,-8.0
1192,-4.0
1193,13.0
1194,-1.0
1195,12.0
1196,-9.0
1197,12.0
1198,13.0
1199,12.0
1200,4.0
1201,22.0
1202,-5.0
1203,2.0
1204,-2.0
1205,-7.0
1206,-2.0
1207,16.0
1208,12.0
1209,-10.0
1210,19.0
1211,7.0
1212,13.0
1213,6.0
1214,7.0
1215,-10.0
1216,5.0
1217,2.0
1218,-14.0
1219,6.0
1220,-27.0
1221,-6.0
1222,20.0
1223,-23.0
1224,-7.0
1225,-5.0
1226,-9.0
1227,15.0
1228,-11.0
1229,-5.0
1230,2.0
1231,7.0
1232,37.0
1233,16.0
1234,-7.0
1235,16.0
1236,-18.0
1237,12.0
1238,-42.0
1239,6.0
1240,-5.0
1241,-27.0
1242,12.0
1243,19.0
1244,8.0
1245,24.0
1246,-21.0
1247,32.0
1248,-19.0
1249,-11.0
1250,6.0
1251,-24.0
1252,23.0
1253,-4.0
1254,-20.0
1255,-26.0
1256,9.0
1257,4.0
1258,-4.0
1259,46.0
1260,8.0
1261,3.0
1262,2.0
1263,4.0
1264,10.0
1265,3.0
1266,15.0
1267,-20.0
1268,6.0
1269,-1.0
1270,2.0
1271,13.0
1272,-2.0
1273,4.0
1274,-18.0
1275,-4.0
1276,14.0
1277,14.0
1278,15.0
1279,-8.0
1280,-15.0
1281,8.0
1282,5.0
1283,12.0
1284,24.0
1285,-23.0
1286,19.0
1287,-12.0
1288,14.0
1289,8.0
1290,-24.0
1291,-30.0
1292,10.0
1293,16.0
1294,-13.0
1295,3.0
1296,30.0
1297,5.0
1298,17.0
1299,29.0
1300,-10.0
1301,-3.0
1302,-2.0
1303,-8.0
1304,17.0
1305,-6.0
1306,8.0
1307,-6.0
1308,-6.0
1309,-6.0
1310,-4.0
1311,25.0
1312,10.0
1313,-13.0
1314,8.0
1315,20.0
1316,3.0
1317,-14.0
1318,4.0
1319,-9.0
1320,-11.0
1321,14.0
1322,7.0
1323,5.0
1324,-18.0
1325,15.0
1326,5.0
1327,4.0
1328,2.0
1329,-34.0
1330,-9.0
1331,5.0
1332,23.0
1333,1.0
1334,-1.0
1335,-4.0
1336,-13.0
1337,-7.0
1338,15.0
1339,-2.0
1340,-16.0
1341,-10.0
1342,-3.0
1343,8.0
1344,13.0
1345,15.0
1346,12.0
1347,33.0
1348,-8.0
1349,-18.0
1350,17.0
1351,-9.0
1352,-8.0
1353,-9.0
1354,14.0
1355,5.0
1356,18.0
1357,-15.0
1358,1.0
1359,-17.0
1360,7.0
1361,-5.0
1362,-9.0
1363,-8.0
1364,4.0
1365,-3.0
1366,6.0
1367,24.0
1368,-12.0
1369,5.0
1370,-6.0
1371,-1.0
1372,-15.0
1373,-16.0
1374,10.0
1375,45.0
1376,-21.0
1377,-25.0
1378,5.0
1379,35.0
1380,8.0
1381,-3.0
1382,14.0
1383,4.0
1384,-9.0
1385,-7.0
1386,4.0
1387,12.0
1388,-6.0
1389,-2.0
1390,3.0
1391,-7.0
1392,-7.0
1393,-8.0
1394,12.0
1395,12.0
1396,9.0
